,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,D_Rank,0,15726,9267,0.4440344993,6459,0.7083013488,0.4669673766,0.1234039975
1,D_Rank,1,4747,3662,0.1754671778,1085,0.1189823446,-0.3884768871,0.02194305218
2,D_Rank,2,2842,2296,0.1100143747,546,0.05987498629,-0.6083522096,0.03050240772
3,D_Rank,3,1830,1460,0.0699568759,370,0.04057462441,-0.5447361369,0.01600557417
4,D_Rank,4,1305,1089,0.05218016291,216,0.02368680776,-0.7897841431,0.02250360008
5,D_Rank,5,871,742,0.03555342597,129,0.01414628797,-0.9215842667,0.01972848158
6,D_Rank,Greater than 5,2668,2354,0.1127934835,314,0.03443360018,-1.18652573,0.09297601771
0,Meeting_Sales,0,23496,16521,0.791614758,6975,0.7648865007,-0.0343473991,0.0009180461213
1,Meeting_Sales,1,4578,3085,0.1478198371,1493,0.1637240926,0.1021884333,0.00162523095
2,Meeting_Sales,2,1365,909,0.0435553426,456,0.05000548306,0.1381002875,0.0008907662518
3,Meeting_Sales,Greater than Equal to 3,550,355,0.01701006229,195,0.02138392368,0.2288343412,0.001000889689
0,Meeting_Production,1,9925,7076,0.3390512698,2849,0.312424608,-0.08178814864,0.002177745374
1,Meeting_Production,2,12525,8767,0.4200766651,3758,0.4121065906,-0.01915519948,0.0001526683656
2,Meeting_Production,3,5293,3596,0.1723047437,1697,0.1860949666,0.07699244178,0.001061742934
3,Meeting_Production,4,1586,1014,0.04858648778,572,0.06272617612,0.2554333794,0.003611748374
4,Meeting_Production,Greater than equal to 5,657,415,0.0198850024,242,0.02653799759,0.2886117781,0.001920132772
5,Meeting_Production,Not Available,3,2,0.00009583133685,1,0.0001096611471,0.1348053916,0.000001864332981
0,Broad_Industry,Consumer Focused Segment,7677,5094,0.2440824149,2583,0.2832547428,0.1488407097,0.005830437084
1,Broad_Industry,Industrial Segments,6634,4897,0.2346430283,1737,0.1904814124,-0.2085107133,0.009208170019
2,Broad_Industry,Other B2B Category,9263,6523,0.3125539051,2740,0.3004715429,-0.03942390028,0.0004763338423
3,Broad_Industry,Other Consumer Focused Segment,6410,4353,0.2085769046,2057,0.2255729795,0.07833592024,0.001331403163
4,Broad_Industry,nan,5,3,0.0001437470053,2,0.0002193222941,0.422487464,0.00003192961213
0,Bank,AXIS Bank,3601,2480,0.1188308577,1121,0.1229301458,0.03391515605,0.0001390279976
1,Bank,Bank Of Maharashtra,305,202,0.009678965022,103,0.01129509815,0.154413863,0.0002495533589
2,Bank,Bank of Baroda,1936,1277,0.06118830858,659,0.07226669591,0.1664072506,0.001843523977
3,Bank,Bank of Maharashtra,76,42,0.002012458074,34,0.003728479,0.6166434785,0.001058173113
4,Bank,Canara Bank,1471,1029,0.04930522281,442,0.048470227,-0.01708028162,0.00001426196357
5,Bank,HDFC BANK,1,1,0.00004791566842,0,0.00005483057353,0.1348053916,0.0000009321664903
6,Bank,HDFC Bank,6103,4500,0.2156205079,1603,0.1757868187,-0.204247951,0.008135949395
7,Bank,ICICI,4066,3035,0.1454240537,1031,0.1130606426,-0.2517296473,0.008146830051
8,Bank,IDBI,794,545,0.02611403929,249,0.02730562562,0.04461967394,0.00005316819334
9,Bank,IDFC Bank,588,379,0.01816003833,209,0.02291917973,0.232750619,0.001107693107
10,Bank,Indian Bank,459,323,0.0154767609,136,0.014913916,-0.03704486535,0.00002085051358
11,Bank,IndusInd Bank,894,565,0.02707235266,329,0.03607851738,0.2871845918,0.002586431739
12,Bank,Indusind Bank,1,1,0.00004791566842,0,0.00005483057353,0.1348053916,0.0000009321664903
13,Bank,Kotak Mahindra Bank,2739,1820,0.08720651653,919,0.1007785941,0.1446469144,0.001963159149
14,Bank,Others,2075,1347,0.06454240537,728,0.07983331506,0.2126184439,0.003251129424
15,Bank,Punjab National Bank,1088,743,0.03560134164,345,0.03783309573,0.06080094445,0.0001356927568
16,Bank,STATE BANK OF INDIA,1,0,0.00002395783421,1,0.0001096611471,1.521099753,0.000130363288
17,Bank,State Bank of India,1537,1060,0.05079060853,477,0.05230836715,0.02944487592,0.00004469021414
18,Bank,Union Bank,1573,1063,0.05093435553,510,0.055927185,0.09351291951,0.0004668940598
19,Bank,YES Bank,681,458,0.02194537614,223,0.02445443579,0.1082551595,0.0002716186531
0,A_Rank,0,7033,2927,0.1402491615,4106,0.4502686698,1.166423883,0.3616141587
1,A_Rank,1-3,7678,5307,0.2542884523,2371,0.2600065797,0.02223767538,0.0001271578596
2,A_Rank,4-6,6121,4794,0.2297077144,1327,0.1455203421,-0.4564918085,0.03843084583
3,A_Rank,7-10,4834,3953,0.1894106373,881,0.09661147056,-0.6732198652,0.06247424251
4,A_Rank,Greater than 10,4323,3889,0.1863440345,434,0.04759293782,-1.364910228,0.189382791
0,RAG,-1,1443,908,0.04350742693,535,0.05866871367,0.2989749404,0.004532844802
1,RAG,-2,639,406,0.01945376138,233,0.02555104726,0.2726378661,0.001662351012
2,RAG,0,6167,4042,0.1936751318,2125,0.2330299375,0.1849847555,0.007280039116
3,RAG,1,10183,7017,0.3362242453,3166,0.3471871916,0.03208575733,0.000351754433
4,RAG,2,11513,8478,0.4062290369,3035,0.3328215813,-0.1993105763,0.01463088228
5,RAG,Not Found,44,19,0.0009103977,25,0.002741528676,1.102389418,0.002018619411
0,BL NI-30 Days,0,19961,13831,0.66272161,6130,0.6722228315,0.01423487244,0.0001352486759
1,BL NI-30 Days,1,1595,1129,0.05409678965,466,0.05110209453,-0.05694935789,0.0001705459643
2,BL NI-30 Days,2,1149,787,0.03770963105,362,0.03969733523,0.05136853555,0.0001021054531
3,BL NI-30 Days,3,1000,691,0.03310972688,309,0.03388529444,0.02315402527,0.00001795751087
4,BL NI-30 Days,4,761,522,0.02501197892,239,0.02620901415,0.04674853619,0.00005595964473
5,BL NI-30 Days,5,567,405,0.01940584571,162,0.01776510582,-0.08833815974,0.0001449399424
6,BL NI-30 Days,6,478,333,0.01595591759,145,0.01590086632,-0.003456175422,0.0000001902668187
7,BL NI-30 Days,7,399,270,0.01293723047,129,0.01414628797,0.0893430175,0.000108020845
8,BL NI-30 Days,8,334,231,0.01106851941,103,0.01129509815,0.02026384985,0.000004591357583
9,BL NI-30 Days,Greater than 8,3745,2671,0.1279827504,1074,0.1177760719,-0.0831103659,0.0008482807783
0,Ticket Count,0,22695,16466,0.7889793963,6229,0.683079285,-0.1441292705,0.01526330578
1,Ticket Count,1,5484,3398,0.1628174413,2086,0.2287531528,0.3400139055,0.02241905876
2,Ticket Count,2,1382,782,0.03747005271,600,0.06579668823,0.5630274868,0.01594867441
3,Ticket Count,3,288,154,0.007379012937,134,0.01469459371,0.6888397697,0.005039262971
4,Ticket Count,4,97,45,0.002156205079,52,0.005702379647,0.9725338009,0.003448774631
5,Ticket Count,5,32,21,0.001006229037,11,0.001206272618,0.1813254072,0.00003627298373
6,Ticket Count,6,6,2,0.00009583133685,4,0.0004386445882,1.521099753,0.0005214531519
7,Ticket Count,7,3,2,0.00009583133685,1,0.0001096611471,0.1348053916,0.000001864332981
8,Ticket Count,8,2,0,0.00002395783421,2,0.0002193222941,2.214246933,0.0004325851562
0,Products Added,0,14342,9870,0.4729276473,4472,0.4904046496,0.03628845454,0.0006342134033
1,Products Added,1,3540,2478,0.1187350264,1062,0.1164601382,-0.01934528825,0.00004400836759
2,Products Added,10,344,226,0.01082894106,118,0.01294001535,0.1781021973,0.0003759869696
3,Products Added,11,311,215,0.01030186871,96,0.01052747012,0.02166273548,0.000004887143587
4,Products Added,2,2221,1622,0.07771921418,599,0.06568702709,-0.1682010644,0.002023826677
5,Products Added,3,1515,1056,0.05059894586,459,0.0503344665,-0.005240682068,0.000001386052222
6,Products Added,4,1233,882,0.04226161955,351,0.03849106262,-0.0934532604,0.0003523708389
7,Products Added,5,878,581,0.02783900335,297,0.03256936068,0.1569339541,0.0007423536787
8,Products Added,6,756,525,0.02515572592,231,0.02533172497,0.006972020068,0.000001227068891
9,Products Added,7,622,449,0.02151413512,173,0.01897137844,-0.1257787211,0.0003198246835
10,Products Added,8,522,351,0.01681839962,171,0.01875205615,0.1088299052,0.0002104396568
11,Products Added,9,416,304,0.0145663632,112,0.01228204847,-0.170576258,0.0003896498588
12,Products Added,Greater than 11,3289,2311,0.1107331097,978,0.1072486018,-0.0319733681,0.0001114114539
0,Products Deleted,0,27344,19023,0.9114997604,8321,0.9124904046,0.00108623867,0.000001076076069
1,Products Deleted,1,885,616,0.02951605175,269,0.02949884856,-0.0005830117941,0.00000001002966323
2,Products Deleted,2,377,271,0.01298514614,106,0.01162408159,-0.1107271546,0.0001507068054
3,Products Deleted,3,217,162,0.007762338285,55,0.006031363088,-0.2523105779,0.0004367433521
4,Products Deleted,Greater than 3,1166,798,0.0382367034,368,0.04035530212,0.05392691286,0.0001142494883
